Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7465114629.45783,8124454291.89637,8239343660.83276,9164598458.53792,9655582953.98018,10990594706.5564,11421973770.8233,13865194314.7185,15856574731.441,15924179997.7914,17954877146.6564,18960483969.8941,19477070577.8584,19759744157.4377,20206376461.4103,20741239893.4132,20987900552.5239,21808863988.0303,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.83227780370235,1.41411798021913,11.2297148388594,5.35740324754596,13.8263195390595,3.92498382284528,21.390528405312,14.3624414596815,0.426354792856571,12.7522870825789,5.60074466131869,2.72454336495092,1.45131465457983,2.26031420454613,2.64700320230295,1.18922812897529,3.91160341860697,..
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19990.4120125636,20763.7134952059,20166.7186250512,21620.3221953899,22107.5053283016,24544.3656634738,24935.6547119995,29552.5831229813,32881.4254612704,31999.8478604279,34871.7956677154,35560.223718122,35323.6520336981,34750.3891928962,34562.1472787293,34584.3535480882,34170.9505150024,34696.1279892983,..
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5323398063.85534,5629261101.74622,5795245314.54426,5859279197.3914,5785944655.55332,5888971729.57823,6220947386.67305,6171936109.61493,6084292169.38809,6682776548.1368,6042857912.55639,4350728279.80877,4038036612.66906,4424049156.84258,4791372056.26117,5429694612.20147,5923796791.7011,5276919124.81347,5742875711.85154,6483126460.62459,6933706092.26578,7508515182.79876,7849398816.77983,8283474557.11024,8739893896.95844,9223202583.88038,9767379279.88863,10351466806.2388,11127823665.7504,11500613161.6647,11926928505.5231,12230507222.1843,12403877841.0321,12528163103.1195,12750473701.7819,13033375121.5884,13465406059.6498,13977387390.5945,14546448944.4056,14872299622.2198,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.7456352920068,2.9485968015687,1.104938261827,-1.25159664469855,1.78064395977269,5.63724317825185,-0.787842655012938,-1.42003965482249,9.83654897047623,-9.57564016948643,-28.002141656046,-7.18711091636951,9.55941169434753,8.30286659112861,13.3223333200803,9.09999944360231,-10.9199840851035,8.83008770869769,12.8898967331889,6.95003613422918,8.29007002725658,4.53996064044722,5.5300507779332,5.5099986931984,5.52991480926491,5.90008395738064,5.97998203625438,7.49996956029166,3.35006652793865,3.70689230100683,2.54532184477017,1.41752599216287,1.00198715014967,1.77448678495493,2.21875223166761,3.31480475341897,3.80219748796804,4.07130129479023,2.24007026773023,..
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,207072.248787522,214627.587384069,216335.679728889,214135.973837716,207053.432492531,206451.744850228,213914.264290733,208032.699338668,201245.586061465,215179.060240757,191105.030758773,138423.44931875,129256.285495801,142479.138050009,155259.17713784,177033.494113779,194347.688297439,174211.120290724,190791.058420408,216752.296239873,233298.876960286,255021.624594427,267400.175679529,283245.32111951,300103.745070515,318324.216574735,339239.173185918,362252.90966348,392421.462389145,408310.1698059,425553.262403532,437560.494218116,444496.512723585,449773.59268721,458703.514999806,470248.408114269,486613.6029298,505580.393233655,527463.912619977,541581.745631168,..
Algeria,DZA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,27434020371.1579,23701500826.2163,19035850475.3717,25567760578.9799,27060767715.7457,28740402022.6987,27359434056.5179,29945711115.2865,33178721529.606,35976776110.2383,39165274415.5849,34727175507.3579,44250745519.8448,45938104459.2864,49381127583.0335,51872574162.0056,56223000638.7484,59179535472.0295,64632832434.5288,69465963538.4176,70015166290.0009,72115618539.3069,76731021093.9576,80874498553.0107,85403467665.417,88563393624.877,88917648087.2763,88295226750.6085,87412269635.4034,91258411387.7932,91988479208.1776,90884616918.8045,92520542116.5309,90577610030.9036,89762414663.6235,93173381743.8492,96993488969.6794,98060417289.3,103061502110.79,106359471777.372,110401131704.913,113713165656.06,120081102932.799,128726942343.962,134262200864.751,142183670715.772,144600793117.941,149517220083.95,153105633365.965,155555323499.821,161155315145.814,165828819285.043,171466999140.734,176268075116.674,182966261971.108,189736013664.039,195807566101.288,198353064460.605,200733301234.133,202339167644.005,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-13.6054413259301,-19.685041825216,34.3137287827466,5.83941300668019,6.20689820997107,-4.80497094330886,9.45296256284371,10.7962385727724,8.43328028216965,8.86265710850958,-11.3317191681949,27.423969480239,3.8131762970748,7.49491770344707,5.04534161311486,8.3867564836012,5.25858598739291,9.21483570123117,7.47782655012782,0.790606972981195,2.99999608742769,6.4000041158006,5.40000302352202,5.59999652973147,3.69999725519294,0.400001002558412,-0.699997525864404,-1.0000054903297,4.40000216037417,0.800000579981685,-1.20000058580708,1.80000230312683,-2.10000075786436,-0.899996552130204,3.79999478958757,4.09999846987672,1.09999993912393,5.10000360974934,3.2000015515371,3.80000000000086,2.99999999999967,5.5999999999997,7.20000000000044,4.29999999999957,5.89999999999995,1.70000000000063,3.39999999999938,2.40000000000033,1.60000000000007,3.59999999999978,2.90000000000026,3.39999999999982,2.8,3.79999999999998,3.70000000000022,3.19999999999973,1.29999999999994,1.2000000000002,0.799999999999784,..
Algeria,DZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,234536.234869806,197649.044836086,154868.924505586,202894.571717848,209315.350769939,216476.214887998,200456.74044468,213250.93668322,229554.993960288,241866.340092231,255961.639530492,220741.750299326,273664.660004388,276435.249369106,289072.24333196,295270.339342641,311078.770410157,318179.828974753,337529.661221996,352156.581312722,344344.236054779,343892.850379018,354656.347662742,362311.610885463,370968.44157163,373239.494203345,363850.328833158,351092.439192337,338065.83934018,343624.238425745,337596.818862886,325439.505630958,323601.642627621,309845.356610012,300763.438152792,306286.689078612,313303.250432625,311674.283445532,322689.947628628,328332.880438365,336211.249049706,341791.211091581,356358.62115946,377173.201704086,388241.363472955,405472.591094336,406343.623789089,413691.329949739,416745.079991816,416183.859601225,423453.661304395,427604.373969691,433598.517992524,436901.129340612,444374.102593929,451486.21367516,456473.185558049,453047.356318595,449372.197456256,444291.180605545,..
American Samoa,ASM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,623365638.76652,628440528.634361,631823788.546256,629286343.612335,603066079.295154,614907488.986784,598837004.405286,573462555.066079,576000000,577691629.955947,552317180.61674,537092511.013216,542167400.881057,549779735.682819,534555066.079295,503259911.894273,514255506.60793,..,..
